cabang,induk
3322,433
3323,379
3324,433
3325,418
3326,395
3327,379
3328,433
3329,356
3330,356
3331,36
3332,167
3333,54
3334,60
3335,363
3336,237
3337,237
3338,48
3339,37
3340,37
3341,87
3342,336
3343,135
3344,633
3345,404
3346,336
3347,228
3348,336
3349,367
3350,633
3351,113
3352,113
3353,336
3354,2062
3355,154
3356,113
3357,696
3358,666
3359,1079
3360,1079
3361,622
3362,1079
3363,1099
3364,268
3365,331
3366,668
3367,284
3368,2
3369,560
3370,560
3371,284
3372,98
3373,604
3374,1
3375,238
3376,238
3377,638
3378,176
3379,266
3380,266
3381,266
3382,404
3383,404
3384,135
3385,283
3386,189
3387,189
3388,275
3389,275
3390,115
3391,108
3392,108
3393,40
3394,130
3395,160
3396,342
3397,63
3398,98
3399,173
3400,35
3401,35
3402,182
3403,112
3404,16
3405,22
3406,34
3407,34
3408,34
3409,38
3410,38
3411,50
3412,192
3413,232
3414,218
3415,446
3416,1081
3417,310
3418,642
3419,403
3420,111
3421,111
3422,561
3423,687
3424,121
3425,3
3426,3
3427,3
3428,563
3429,303
3430,180
3431,180
3432,209
3433,209
3434,243
3435,82
3436,213
3437,213
3438,306
3439,212
3440,212
3441,212
3442,215
3443,661
3444,66
3445,54
3446,363
3447,60
3448,60
3449,60
3450,60
3451,226
3452,104
3453,105
3454,94
3455,92
3456,181
3457,406
3458,107
3459,25
3460,116
3461,355
3462,355
3463,123
3464,92
3465,100
3466,100
3467,132
3468,132
3469,544
3470,188
3471,71
3472,71
3473,322
3474,322
3475,322
3476,305
3477,208
3478,89
3479,304
3480,352
3481,125
3482,125
3483,17
3484,17
3485,17
3486,248
3487,124
3488,39
3489,39
3490,39
3491,246
3492,246
3493,246
3494,52
3495,52
3496,267
3497,191
3498,277
3499,235
3500,141
3501,278
3502,9
3503,55
3504,49
3505,344
3506,11
3507,9
3508,45
3509,33
3510,65
3511,65
3512,65
3513,216
3514,220
3515,217
3516,281
3517,340
3518,37
3519,263
3520,263
3521,657
3522,178
3523,265
3524,145
3525,145
3526,264
3527,323
3528,266
3529,367
3530,336
3531,633
3532,336
3533,113
3534,228
3535,85
3536,194
3537,154
3538,283
3539,314
3540,1099
3541,331
3542,331
3543,15
3544,696
3545,284
3546,668
3547,174
3548,174
3549,318
3550,40
3551,150
3552,20
3553,315
3554,160
3555,63
3556,184
3557,184
3558,164
3559,324
3560,131
3561,285
3562,503
3563,241
3564,233
3565,24
3566,590
3567,590
3568,22
3569,69
3570,52
3571,52
3572,119
3573,119
3574,125
3575,157
3576,88
3577,88
3578,339
3579,235
3580,141
3581,343
3582,343
3583,4
3584,410
3585,236
3586,245
3587,236
3588,236
3589,236
3590,173
3591,182
3592,35
3593,511
3594,158
3595,158
3596,158
3597,156
3598,278
3599,133
3600,147
3601,147
3602,121
3603,333
3604,303
3605,180
3606,242
3607,242
3608,243
3609,82
3610,82
3611,163
3612,163
3613,214
3614,214
3615,183
3616,627
3617,183
3618,39
3619,277
3620,207
3621,80
3622,322
3623,220
3624,307
3625,1082
3626,218
3627,352
3628,195
3629,221
3630,281
3632,118
3633,72
3634,72
3635,226
3636,103
3637,227
3638,23
3639,23
3640,23
3641,49
3642,51
3643,95
3644,109
3645,109
3646,168
3647,37
3648,23
3649,23
3650,23
3651,23
3652,23
3653,23
3654,23
3655,23
3656,23
3657,23
3658,112
3659,112
3660,112
3661,112
3662,48
3663,48
3664,48
3665,48
3666,102
3667,102
3668,102
3669,137
3670,137
3671,137
3672,302
3673,302
3674,302
3675,302
3676,302
3677,407
3678,354
3679,389
3680,354
3681,389
3682,354
3683,354
3684,190
3685,190
3686,190
3687,190
3688,190
3689,68
3690,68
3691,68
3692,68
3693,68
3694,68
3695,68
3696,63
3697,71
3698,80
3699,89
3700,421
3701,71
3702,80
3703,71
3704,538
3705,418
3706,55
3707,55
3708,55
3709,55
3710,55
3711,55
3712,55
3713,55
3714,55
3715,55
3716,55
3717,55
3718,55
3719,74
3720,74
3721,74
3722,74
3723,74
3724,74
3725,74
3726,74
3727,116
3728,116
3729,116
3730,116
3731,355
3732,355
3733,75
3734,75
3735,75
3736,75
3737,16
3738,16
3739,16
3740,16
3741,16
3742,156
3743,156
3744,156
3745,156
3746,156
3747,56
3748,56
3749,56
3750,56
3751,56
3752,56
3753,56
3754,56
3755,56
3756,56
3757,56
3758,57
3759,57
3760,151
3761,151
3762,151
3763,151
3764,151
3765,151
3766,185
3767,185
3768,185
3769,185
3770,185
3771,132
3772,132
3773,132
3774,132
3775,544
3776,123
3777,123
3778,123
3779,123
3780,123
3781,123
3782,123
3783,10
3784,215
3785,215
3786,215
3787,81
3788,81
3789,81
3790,81
3791,69
3792,69
3793,69
3794,69
3795,69
3796,386
3797,37
3798,234
3799,42
3800,657
3801,43
3802,43
3803,178
3804,87
3805,87
3806,403
3807,343
3808,642
3809,352
3810,50
3811,50
3812,642
3813,642
3814,642
3815,343
3816,50
3817,224
3818,403
3819,50
3820,642
3821,50
3822,343
3823,403
3824,343
3825,343
3826,343
3827,85
3828,314
3829,314
3830,99
3831,1097
3832,176
3833,144
3834,283
3835,273
3836,363
3837,605
3838,410
3839,11
3840,11
3841,11
3842,70
3843,70
3844,70
